id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,recoveries,collection_recovery_fee,policy_code,tot_cur_bal,total_rev_hi_lim
1656,5000,5000,5000, 36 months,13.11,168.74,B,B4,dillion,< 1 year,RENT,45000,n,debt_consolidation,credit card consolidation,TX,11.71,0,Jun-2005,3,8,0,5192,76.4,17,f,0,0,270.28,2.5,1,14145,6800
1657,6000,6000,6000, 36 months,15.27,208.79,C,C4,NTT Data,2 years,MORTGAGE,70000,n,debt_consolidation,Bill consolidation,FL,9.65,1,Nov-1998,2,10,0,4925,45.2,63,f,0,0,0,0,1,,
1658,27575,27575,27575, 36 months,11.14,904.6,B,B2,The Bravo Group,10+ years,OWN,77000,n,debt_consolidation,pay off credit cards ,NJ,16.03,0,Jun-1987,0,24,0,33440,26.9,40,f,0,0,0,0,1,253951,124500
1659,25000,25000,25000, 36 months,12.99,842.23,B,B4,Gs-7 production controller,5 years,RENT,75000,n,debt_consolidation,Debt consolidation,CA,18.73,0,Feb-1988,0,10,0,21907,62.2,13,w,0,0,0,0,1,28107,35200
1660,24000,24000,24000, 36 months,6.24,732.74,A,A2,Sales Manager,10+ years,MORTGAGE,160000,n,debt_consolidation,Debt consolidation,IL,28.58,0,Dec-1999,0,23,0,142107,54,39,w,20928.52,20928.52,0,0,1,224502,263800
1661,11200,11200,11200, 60 months,19.19,291.71,E,E3,Health Service Assistant,10+ years,MORTGAGE,32000,n,home_improvement,Home improvement,CA,20.41,1,May-1995,0,5,1,4893,65,28,w,10856.76,10856.76,0,0,1,28665,7500
1662,14600,14600,14600, 36 months,17.77,526.15,D,D1,Rc Willey,6 years,MORTGAGE,84000,n,small_business,Franchise Funding,NV,0.77,1,Jun-2000,1,8,1,1053,11.2,19,f,0,0,747.6,7.27,1,,
1663,24000,24000,24000, 60 months,14.49,564.56,C,C4,Trust Coordinator,6 years,RENT,73000,n,debt_consolidation,Debt consolidation,CT,28.31,0,Oct-1997,2,19,0,21579,37.9,35,w,19511.33,19511.33,0,0,1,295928,56900
1664,15350,15350,15350, 60 months,24.99,450.46,F,F4,Ft deli clerk,10+ years,RENT,60000,n,debt_consolidation,Debt consolidation,RI,13.54,0,Nov-2005,2,7,0,9359,86.7,11,f,13912.4,13912.4,0,0,1,21112,10800
1665,24000,24000,24000, 36 months,12.29,800.48,C,C1,,n/a,MORTGAGE,74854,n,debt_consolidation,Debt consolidation,VA,27.58,0,Nov-2004,0,9,1,16676,75.8,19,f,21746.97,21746.97,0,0,1,218106,22000
1666,10000,10000,10000, 36 months,11.67,330.57,B,B4,table gme dealer,10+ years,MORTGAGE,65000,n,major_purchase,Major purchase,NM,8.94,0,May-2002,2,5,1,404,11,22,w,5709.44,5709.44,0,0,1,11128,3800
1667,7200,7200,7200, 36 months,11.67,238.01,B,B4,Corrections Officer,2 years,RENT,60000,n,debt_consolidation,Debt consolidation,NJ,15.52,0,Oct-2007,1,8,0,8012,44.5,21,w,0,0,0,0,1,31171,18000
1668,20125,20125,20125, 36 months,13.11,679.16,B,B4,Nordstrom,5 years,RENT,45000,n,credit_card,Luck payoff CC,WA,29.12,0,Sep-1989,0,11,0,26955,62.3,17,f,0,0,1404.95,252.891,1,44993,43300
1669,4000,4000,4000, 36 months,14.65,137.98,C,C5,veterans counselor,10+ years,RENT,46000,n,debt_consolidation,Debt consolidation,MD,27.47,0,Jul-2004,2,11,1,8925,56.8,32,f,3255.6,3255.6,0,0,1,40289,15700
1670,10000,10000,10000, 36 months,8.18,314.2,B,B1,,n/a,RENT,73000,n,car,Car financing,FL,9.68,0,Jul-2011,0,7,0,1152,13.9,8,f,9753.97,9753.97,0,0,1,8726,8300
1671,6500,6500,6375, 36 months,15.65,227.41,D,D4,Village of Trumansburg,4 years,RENT,42500,n,medical,MEDICAL CO-PAYS ARE BURYING ME,NY,13.16,0,Oct-1997,1,6,0,1542,90.7,8,f,0,0,242.46,2.52,1,,
1672,15800,15800,15800, 36 months,14.47,543.63,C,C2,Operations Manager,10+ years,MORTGAGE,123000,n,credit_card,Credit card refinancing,NC,20.4,0,Nov-1980,2,12,0,32337,93.5,43,f,0,0,1660.33,298.8594,1,517207,34600
1673,25000,25000,25000, 60 months,23.76,715.73,F,F4,US Postal Service,10+ years,MORTGAGE,80000,n,debt_consolidation,debt consolidation,CT,18.51,0,Jun-2000,0,11,0,20906,91.3,39,f,11245.49,11245.49,0,0,1,,
1674,12000,12000,12000, 60 months,19.22,312.75,D,D4,Controller,8 years,RENT,55000,n,debt_consolidation,Debt Consolidation,GA,20.5,0,Jul-1998,1,22,0,18017,47.2,46,f,0,0,0,0,1,88600,38200
1675,14400,14400,14400, 60 months,12.69,325.37,C,C2,rathole/swamper,3 years,MORTGAGE,120000,n,debt_consolidation,Debt consolidation,TX,8.03,0,Jun-2000,1,8,0,7581,31.7,22,w,13696.58,13696.58,0,0,1,30906,23900
1676,17325,17325,17325, 36 months,14.33,594.91,C,C1,Red Earth Casino,4 years,RENT,39995,n,debt_consolidation,one payment,CA,28.01,0,Dec-1988,0,11,0,16261,91.4,19,f,0,0,0,0,1,28837,17800
1677,6000,6000,5750, 36 months,10.59,195.27,B,B2,Hermosa Beach City Schools,10+ years,RENT,80490,n,vacation,vacation loan,CA,16.67,0,Jun-1983,0,5,0,120,40,24,f,0,0,0,0,1,,
1678,30000,30000,30000, 60 months,20.31,800.01,D,D5,City of Dallas,10+ years,MORTGAGE,140250,n,debt_consolidation,debt consolidation loan,TX,9.01,0,Jun-2000,1,6,1,14203,76.4,21,f,0,0,0,0,1,257407,18600
1679,23000,23000,23000, 60 months,14.65,542.96,C,C5,mechanical assy,10+ years,RENT,50000,n,debt_consolidation,Debt consolidation,CA,3.1,0,Jul-2001,0,6,0,5401,43.6,20,w,21656.76,21656.76,0,0,1,5401,12400
1680,8000,8000,8000, 36 months,19.05,293.46,D,D4,Wells Fargo,10+ years,MORTGAGE,80000,n,credit_card,Credit Consolodate,CO,5.06,0,May-1999,1,7,0,11300,95,34,f,0,0,0,0,1,187637,11900
1681,3250,3250,3250, 36 months,15.61,113.64,C,C5,selector,1 year,RENT,45000,n,debt_consolidation,Debt consolidation,KY,16.96,0,Jun-1998,4,9,1,1408,16.6,27,f,0,0,0,0,1,39440,8500
1682,12600,12600,12600, 60 months,22.99,355.13,F,F2,Cook 2,3 years,RENT,42000,n,debt_consolidation,Debt consolidation,PA,39.14,1,Nov-1995,3,12,0,57995,71.2,38,f,12131.82,12131.82,0,0,1,64775,81400
1683,6500,6500,6500, 36 months,8.9,206.4,A,A5,United Site Services ,7 years,RENT,30000,n,debt_consolidation,Finall Free,NV,29.22,0,Jul-2004,3,10,0,3020,16.7,28,f,0,0,0,0,1,34004,18100
1684,16375,16375,16375, 36 months,18.99,600.16,E,E1,MANAGER ,3 years,RENT,65000,n,debt_consolidation,Debt consolidation,NC,3.78,0,Apr-2003,0,5,0,6747,71.8,8,w,0,0,2671.24,480.8232,1,9203,9400
1685,16000,16000,16000, 36 months,12.29,533.65,C,C1,Sr. Health & Wellness Pgm Administrator,6 years,RENT,80000,n,debt_consolidation,Debt consolidation,TX,6.52,2,Apr-1995,0,10,0,17483,51.1,21,f,14112.82,14112.82,0,0,1,17483,36400
1686,10000,10000,10000, 36 months,12.99,336.9,B,B4,Lead A/C Tech,5 years,RENT,51000,n,house,Thank You,TX,17.91,0,Dec-1983,1,15,0,17815,28.7,24,f,3177.02,3177.02,0,0,1,31639,62100
1687,28000,28000,28000, 60 months,21,757.5,E,E2,Accela,6 years,RENT,76000,n,debt_consolidation,Lower Debt,CA,25.34,0,Aug-1999,0,16,0,39457,93.1,24,f,0,0,3345.37,33.3289,1,62772,84200
1688,20000,20000,20000, 60 months,16.29,489.45,C,C4,Exelon (CENG),3 years,MORTGAGE,85000,n,debt_consolidation,Consolidation ,NY,22.56,0,Oct-2003,0,12,0,16641,89.5,28,f,0,0,2193.3,21.933,1,250022,18600
1689,18200,18200,18200, 36 months,6.03,553.93,A,A1,,n/a,MORTGAGE,41000,n,credit_card,Credit Card Payoff,UT,22.01,0,Sep-1967,0,13,0,28299,28.6,25,f,0,0,0,0,1,99541,98800
1690,6400,6400,6400, 36 months,17.86,230.93,D,D5,DIRECTOR,10+ years,MORTGAGE,38000,n,debt_consolidation,Debt consolidation,AZ,6.85,0,Aug-1996,0,7,0,3726,84.7,11,f,4791.38,4791.38,0,0,1,141605,4400
1691,25000,25000,25000, 60 months,20.99,676.2,E,E5,Banker,10+ years,MORTGAGE,126000,n,debt_consolidation,Debt consolidation,VA,10.55,0,Aug-2002,2,12,0,79507,58,26,w,23502.39,23502.39,0,0,1,1002766,136400
1692,20000,20000,20000, 60 months,17.57,503.21,D,D2,Vice President of Surety ,10+ years,MORTGAGE,95000,n,credit_card,Credit card refinancing,SC,17.22,0,Dec-1997,0,16,0,32795,78.6,24,f,0,0,3132,563.76,1,161126,41700
1693,6000,6000,6000, 36 months,15.22,208.64,C,C3,Forum NY,4 years,RENT,50000,n,debt_consolidation,My Way,NY,14.64,0,Jan-1985,0,4,2,1006,45.7,12,w,0,0,0,0,1,16699,2200
1694,22500,22500,22500, 60 months,16.29,550.63,C,C4,CUI,6 years,MORTGAGE,57000,n,debt_consolidation,Debt Refi,AL,12.61,0,Jul-2003,0,7,0,19329,83,10,f,12379.37,12379.37,0,0,1,205543,23300
1695,10000,10000,10000, 36 months,13.68,340.23,C,C1,,n/a,RENT,70000,n,credit_card,Credit card refinancing,CA,7.41,0,Oct-1998,0,14,0,15866,91.7,29,f,0,0,0,0,1,73241,17300
1696,30000,30000,30000, 60 months,22.7,840.56,E,E5,New York State Police,10+ years,RENT,84000,n,debt_consolidation,Debt consolidation,NY,16.31,0,Jun-1998,0,9,0,27189,83.1,20,f,0,0,0,0,1,39687,32700
1697,18400,18400,18400, 60 months,19.19,479.24,E,E3,Sales,1 year,RENT,40000,n,credit_card,Credit card refinancing,FL,13.08,0,Mar-2002,0,3,0,18063,75,20,w,18027.05,18027.05,0,0,1,18063,24100
1698,35000,35000,35000, 36 months,18.75,1278.55,D,D3,Morgan Stanley,9 years,RENT,135000,n,home_improvement,Remodel,CA,2.63,0,Dec-1996,0,5,0,19995,65.9,31,w,0,0,0,0,1,19995,30359
1699,6450,6450,6375, 36 months,17.57,231.8,D,D4,Puller,5 years,RENT,19206,n,credit_card,Credit card refinancing,FL,7.38,0,Nov-2010,1,5,0,3861,40.6,5,f,5742.79,5676.01,0,0,1,3861,9500
1700,10000,10000,9950, 36 months,14.33,343.39,C,C1,FAA,1 year,RENT,67204,n,debt_consolidation,high interest credit cards,IL,17.23,0,Jul-1998,2,10,0,10450,52.5,17,f,684.19,680.77,0,0,1,32118,19900
1701,35000,35000,35000, 60 months,17.57,880.61,D,D4,Attorney,7 years,RENT,130000,n,debt_consolidation,Debt consolidation,VA,12.28,6,Jun-1994,0,11,0,15530,70.6,30,w,31485.81,31485.81,0,0,1,74227,22000
1702,32000,32000,32000, 60 months,13.33,733.52,C,C3,Partner,< 1 year,RENT,325000,n,debt_consolidation,Debt consolidation,CT,7.04,4,Oct-1982,1,7,4,1793,64,14,w,31200.22,31200.22,0,0,1,10516,2800
1703,22950,22950,22950, 60 months,14.31,537.71,C,C4,Quality Management,10+ years,MORTGAGE,50000,n,debt_consolidation,Debt consolidation,MO,31.09,1,Jun-1991,0,10,0,36880,72.7,17,w,19565.33,19565.33,0,0,1,156156,50700
1704,22000,22000,22000, 60 months,21.99,607.5,E,E5,IRA Accounts Representative,< 1 year,RENT,50000,n,debt_consolidation,Debt consolidation,CA,13.71,0,Oct-2004,0,8,0,8748,58.7,13,f,0,0,0,0,1,29635,14900
1705,2000,2000,2000, 36 months,22.9,77.32,E,E4,Senior Network Engineer,2 years,OWN,106000,n,medical,Medical expenses,TX,13.33,0,Feb-2004,1,13,0,16846,69.3,24,f,0,0,246.15,44.307,1,56400,24300
1706,6000,6000,6000, 36 months,12.49,200.7,B,B5,Court Reporter,10+ years,RENT,75000,n,debt_consolidation,Debt consolidation,CA,7.87,1,Nov-1993,1,11,1,2788,42.2,22,w,0,0,0,0,1,6785,6600
1707,13000,13000,13000, 36 months,12.49,434.84,B,B5,MANAGER,3 years,RENT,145000,n,debt_consolidation,Debt consolidation,TX,15.5,0,Dec-1997,1,14,0,2099,16.7,33,f,7465.02,7465.02,0,0,1,48108,12600
1708,29100,29100,29075, 60 months,21,787.26,E,E2,Akin Gump Strauss Hauer & Feld,8 years,MORTGAGE,65000,n,debt_consolidation,Debt Consolidation,TX,26.34,0,Dec-1991,0,12,0,69897,77.9,35,f,0,0,3858.29,694.4922,1,151065,89742
1709,20000,20000,20000, 36 months,11.99,664.2,B,B3,Pilot,3 years,RENT,50000,n,credit_card,Bills refi,FL,24.15,0,May-2002,1,12,0,15323,72.3,30,w,0,0,0,0,1,47370,21200
1710,20000,20000,20000, 36 months,11.14,656.11,B,B2,The Cosmopolitian of Las Vegas ,3 years,MORTGAGE,95000,n,credit_card,Credit Card Consolidation,NV,15.48,0,Jul-1999,0,12,0,25554,58.1,26,f,0,0,0,0,1,210005,44000
1711,8550,8550,8550, 36 months,18.99,313.37,E,E1,Loan officer,6 years,RENT,42000,n,moving,Moving and relocation,NY,9.83,0,Aug-2006,1,11,0,13621,52,18,f,0,0,0,0,1,13621,26200
1712,7000,7000,7000, 36 months,8.9,222.28,A,A5,Hawaiian Airlines,1 year,RENT,68000,n,credit_card,Credit Card Payoff,HI,32.91,0,Jul-2001,0,20,0,6913,61.7,30,f,0,0,0,0,1,181648,11200
1713,16750,16750,16750, 60 months,18.25,427.63,D,D2,Halliburton,1 year,MORTGAGE,95000,n,debt_consolidation,debt cons loan,TX,29.92,1,Jan-1999,1,15,0,6020,37.6,27,f,10508.74,10508.74,0,0,1,207915,16000
1714,35000,35000,35000, 60 months,20.49,936.86,E,E1,Prince GHeorge's County Government,10+ years,OWN,100000,n,debt_consolidation,Debt Consolidation,MD,12.72,0,Jun-1989,1,11,0,9529,64,20,f,19951.6,19951.6,0,0,1,317471,14900
1715,10000,10000,10000, 36 months,11.53,329.91,B,B5,,n/a,RENT,47042,n,moving,Moving and relocation,FL,13.27,0,Nov-1990,0,5,1,3169,51.1,13,w,8808.18,8808.18,0,0,1,19956,6200
1716,25000,25000,25000, 36 months,14.47,860.16,C,C2,Medical Review Manager,3 years,MORTGAGE,76000,n,debt_consolidation,Debt consolidation,CA,22.34,0,Feb-1999,0,13,0,26147,63.5,24,w,0,0,0,0,1,194018,41200
1717,9000,9000,9000, 36 months,12.12,299.45,B,B3,TRINITY LOGISTICS,2 years,RENT,50000,n,debt_consolidation,LUMP IT LOAN,MD,19.08,0,Aug-2003,0,8,0,10335,69.8,12,f,0,0,0,0,1,,
1718,18350,18350,18350, 60 months,21.99,506.71,E,E5,Operations Facilitator,10+ years,RENT,51200,n,debt_consolidation,Debt consolidation,VA,9.77,0,Nov-1999,0,11,0,9541,33.2,70,f,0,0,0,0,1,13598,28700
1719,5000,5000,5000, 36 months,16.24,176.38,C,C5,technician,10+ years,MORTGAGE,28000,n,home_improvement,home repair,CA,7.26,0,Sep-2006,1,4,0,6635,88.5,9,w,2379.89,2379.89,0,0,1,6635,7500
1720,14800,14800,14800, 36 months,16.24,522.08,C,C5,Program Mgr,10+ years,RENT,129000,n,debt_consolidation,Debt consolidation,VA,12.6,0,Feb-1990,0,8,0,17241,79.8,13,w,4569.77,4569.77,0,0,1,34248,21600
1721,8625,8625,8625, 36 months,15.61,301.58,D,D1,Driver,< 1 year,RENT,54956,n,debt_consolidation,Debt consolidation,MO,29.5,0,Oct-2004,0,10,0,7095,70.2,20,f,7451.1,7451.1,0,0,1,34574,10100
1722,5000,5000,5000, 36 months,16.55,177.15,D,D2,Nurse Practitioner,9 years,MORTGAGE,91000,n,other,Other,NY,19.15,0,Aug-2001,2,15,1,18467,64.8,48,w,4443.91,4443.91,0,0,1,231461,28500
1723,12500,12500,12500, 36 months,13.98,427.1,C,C1,Data Processing Equipment Operator,10+ years,MORTGAGE,66000,n,debt_consolidation,Debt consolidation,NY,25.97,1,May-1983,1,19,2,8110,27.9,37,f,5125.07,5125.07,0,0,1,323047,29100
1724,21000,21000,20950, 60 months,10.99,456.49,B,B4,"Exec.Dir, Maintenance / Equip.Sales",10+ years,MORTGAGE,63800,n,credit_card,Credit card refinancing,KS,25.58,0,Jun-1991,0,17,0,24938,73.3,31,w,19928.74,19881.29,0,0,1,81748,34000
1725,35000,35000,35000, 60 months,13.99,814.21,C,C4,lead tugboat captain,10+ years,MORTGAGE,135000,n,debt_consolidation,Debt consolidation,LA,20.57,0,Dec-2001,1,12,0,37052,61.2,37,f,32921.25,32921.25,0,0,1,307103,60500
1726,4200,4200,4200, 36 months,12.59,140.69,C,C2,histotecnician,10+ years,MORTGAGE,60000,n,other,Other,NY,4.66,1,Sep-1998,1,4,1,3462,58.7,11,f,4005.74,4005.74,0,0,1,3462,5900
1727,8000,8000,8000, 36 months,12.99,269.52,C,C1,file clerk,< 1 year,RENT,32296,n,debt_consolidation,Debt consolidation,VT,31.48,0,Sep-2004,1,8,0,3650,57.9,23,f,4386.26,4386.26,0,0,1,28441,6300
1728,25000,25000,24975, 36 months,6.24,763.28,A,A2,Sr. Manager of Outside Sales,6 years,MORTGAGE,220000,n,debt_consolidation,Debt consolidation,KS,10.06,0,Mar-2000,0,18,0,29932,45.3,58,f,23730.15,23706.42,0,0,1,498299,66100
1729,14000,14000,13975, 36 months,9.17,446.31,B,B2,Engineer,1 year,RENT,72000,n,credit_card,Credit card refinancing,IN,8.43,0,Jul-1999,1,7,0,14547,81.3,18,f,10851.03,10831.65,0,0,1,23606,17900
1730,15000,15000,15000, 60 months,12.69,338.93,C,C2,,n/a,RENT,46140,n,debt_consolidation,Debt consolidation,IL,6.24,0,Dec-1997,0,4,1,10177,78.3,13,w,14267.26,14267.26,0,0,1,10177,13000
1731,10000,10000,10000, 36 months,12.49,334.49,B,B5,Legal Secretary,7 years,OWN,31200,n,debt_consolidation,Debt consolidation,NC,18.69,0,Mar-1996,3,8,0,10465,45,15,w,0,0,0,0,1,16397,23500
1732,14450,14450,14450, 36 months,16.29,510.1,D,D2,,n/a,RENT,54000,n,debt_consolidation,Debt consolidation,PA,26.71,0,May-2002,1,8,4,12029,63.6,47,w,0,0,0,0,1,41657,18900
1733,5000,5000,5000, 36 months,13.99,170.87,C,C4,Merchandise Manager,< 1 year,RENT,45000,n,debt_consolidation,Debt consolidation,TX,5.31,1,Aug-2000,1,6,0,3723,24.8,13,f,4512.65,4512.65,0,0,1,149100,15000
1734,21000,21000,21000, 60 months,12.05,467.67,C,C1,Regional ales Manager,< 1 year,RENT,60000,n,debt_consolidation,Debt consolidation,MD,13.74,1,Jun-1990,0,4,0,10722,84.4,15,w,20766.59,20766.59,0,0,1,21582,12700
1735,23000,23000,22950, 60 months,15.61,554.57,C,C5,Teacher,10+ years,MORTGAGE,77000,n,credit_card,Credit card refinancing,WI,29.99,0,Feb-2001,0,19,0,14990,81,47,f,16543.43,16507.46,0,0,1,258596,18500
1736,15000,15000,15000, 36 months,17.86,541.24,D,D5,Senior Public Health Microbiologist,2 years,MORTGAGE,82500,n,home_improvement,Home improvement,CA,10.43,0,Aug-2011,1,8,0,5041,86.9,8,w,13699.36,13699.36,0,0,1,426561,5800
1737,18700,18700,18700, 60 months,15.61,450.89,C,C4,VP,10+ years,RENT,66000,n,debt_consolidation,Debt consolidation,CO,30.26,1,Mar-1990,3,13,0,18979,55.3,27,f,0,0,0,0,1,61902,36100
1738,13375,13375,13375, 60 months,18.25,341.46,E,E1,SGT E5,9 years,MORTGAGE,55000,n,small_business,Business,NC,25.27,1,Jan-2002,0,8,1,17598,60.1,24,f,12363.44,12363.44,0,0,1,236891,29300
1739,10000,10000,10000, 36 months,17.76,360.33,D,D1,Accounting Clerk,7 years,RENT,50000,n,credit_card,Credit Card Payoff,TX,18.63,0,Feb-2004,1,13,0,5326,40.3,19,f,0,0,0,0,1,17377,13200
1740,7000,7000,6850, 36 months,7.88,218.97,A,A5,Oak Hills Schools,5 years,MORTGAGE,51000,n,debt_consolidation,Sara's Debt Consolidation,OH,14.75,0,Nov-1994,0,9,0,7604,47.2,21,f,0,0,0,0,1,,
1741,20000,20000,20000, 36 months,9.17,637.58,B,B2,Program coordinator,10+ years,MORTGAGE,56000,n,credit_card,Credit card refinancing,NY,29.55,0,May-1992,0,11,0,37225,91.7,20,w,16527.99,16527.99,0,0,1,167289,40600
1742,20000,20000,20000, 36 months,7.9,625.81,A,A4,Ocean Gate General Contractors,8 years,MORTGAGE,90000,n,debt_consolidation,Loan 2012,FL,24.91,0,Feb-2000,1,9,0,30539,63.6,29,f,0,0,0,0,1,,
1743,7575,7575,7575, 36 months,16.55,268.38,D,D2,Bookkeeper,< 1 year,MORTGAGE,50000,n,debt_consolidation,Debt consolidation,CT,33.49,0,Jan-2002,2,15,0,39407,68.7,20,f,6379.06,6379.06,0,0,1,238277,57400
1744,5000,5000,5000, 36 months,13.67,170.09,C,C4,Director,2 years,MORTGAGE,110000,n,debt_consolidation,Debt consolidation,IL,26.64,0,Oct-1996,3,15,2,17616,77.9,38,f,4886.87,4886.87,0,0,1,318745,22600
1745,6000,6000,6000, 36 months,12.29,200.12,C,C1,Teacher,10+ years,RENT,54000,n,debt_consolidation,Debt consolidation,CA,28.87,0,Oct-1996,0,10,0,35892,94.5,20,f,5292.3,5292.3,0,0,1,39780,38000
1746,15000,15000,15000, 60 months,19.99,397.33,E,E3,Quote Specialist,< 1 year,RENT,60000,n,debt_consolidation,Debt consolidation,CO,13.86,2,Sep-2003,2,8,0,2003,35.1,25,w,13059.07,13059.07,0,0,1,18661,5700
1747,5000,5000,5000, 36 months,11.14,164.03,B,B2,Penn State University,8 years,MORTGAGE,50000,n,home_improvement,renovation loan,PA,27.82,0,Jun-1999,0,14,0,17936,73.2,22,f,0,0,0,0,1,33648,24500
1748,10000,10000,10000, 36 months,8.39,315.17,A,A5,Interventional Radiologic Technologist,3 years,MORTGAGE,58000,n,debt_consolidation,Debt consolidation,VA,20.01,0,Oct-2004,0,19,0,8922,48,37,w,5313.04,5313.04,0,0,1,217446,18600
1749,10800,10800,10800, 60 months,16.99,268.35,D,D3,Maintenance,< 1 year,RENT,31200,n,debt_consolidation,Debt consolidation,AL,11.38,0,Mar-2004,0,7,0,7576,47.6,18,w,0,0,0,0,1,7576,15900
1750,2625,2625,2625, 36 months,19.52,96.92,D,D4,STATE OF CALIFORNIA -CDCR,10+ years,RENT,41000,n,debt_consolidation,Debt consolidation,CA,21.48,0,Jul-2001,0,5,0,1174,43.5,19,w,0,0,0,0,1,35119,2700
1751,5000,5000,5000, 36 months,10.99,163.67,B,B2,LPN,2 years,OWN,35000,n,debt_consolidation,Debt consolidation,WV,14.33,0,Aug-2009,0,5,0,3861,62.3,9,w,2141.39,2141.39,0,0,1,18122,6200
1752,5600,5600,5600, 36 months,17.56,201.22,D,D1,Richard Bagdasarian,5 years,RENT,65000,n,debt_consolidation,Debt consolidation,CA,14.38,0,Sep-2007,3,8,0,6411,64.1,15,f,0,0,0,0,1,104195,10000
1753,12725,12725,12725, 60 months,18.24,324.8,D,D5,Loan Representative,< 1 year,RENT,29120,n,debt_consolidation,Debt consolidation,FL,26.45,0,Jun-1998,2,8,0,11795,59.9,21,f,11008.02,11008.02,0,0,1,16430,19700
1754,14575,14575,14575, 60 months,19.19,379.61,E,E3,Parts Manager,8 years,RENT,64000,n,debt_consolidation,Debt consolidation,OH,23.65,1,Aug-1998,1,14,1,13284,51.3,43,w,14128.34,14128.34,0,0,1,58360,25900
1755,14000,14000,14000, 36 months,12.99,471.65,B,B5,Driver,10+ years,MORTGAGE,67000,n,debt_consolidation,Debt consolidation,SC,14.02,0,Sep-2002,1,7,0,14176,84.4,11,f,6497.82,6497.82,0,0,1,35038,16800
1756,10000,10000,10000, 36 months,12.35,333.82,B,B4,LPL Financial,2 years,MORTGAGE,85000,n,debt_consolidation,Debt Consolidation,CA,3.02,0,Dec-2000,1,7,0,6388,70.2,14,f,0,0,0,0,1,292824,9100
1757,27575,27575,27575, 60 months,24.99,809.21,F,F4,Production Supervisor,2 years,RENT,60000,n,debt_consolidation,Debt consolidation,TX,23.22,1,Feb-2008,1,10,0,7714,46.2,14,w,25552.45,25552.45,0,0,1,30392,16700
1758,6000,6000,6000, 36 months,14.09,205.33,B,B5,Engage:BDR,2 years,RENT,105000,n,credit_card,Consolidation,CA,8.9,0,Feb-1999,2,9,2,5437,61.1,34,f,0,0,0,0,1,10281,8900
1759,10000,10000,10000, 36 months,13.66,340.13,C,C3,Guest service manager,3 years,RENT,70000,n,credit_card,Credit card refinancing,NY,11.24,0,Aug-2001,1,8,0,16302,83.6,10,f,8115.83,8115.83,0,0,1,23470,19500
1760,10200,10200,10175, 36 months,8.39,321.47,A,A5,,n/a,MORTGAGE,28751,n,credit_card,Credit card refinancing,CT,11.98,1,May-1998,0,4,0,12477,81.5,33,f,6808.01,6791.32,0,0,1,158791,15300
1761,30000,30000,30000, 36 months,10.99,982.02,B,B4,Procurement Manager,1 year,MORTGAGE,90000,n,debt_consolidation,Debt consolidation,IL,33.9,0,May-1996,1,14,0,21668,52.2,54,f,27131.82,27131.82,0,0,1,232297,41500
1762,25000,25000,25000, 36 months,12.69,838.63,C,C2,Manager,10+ years,RENT,105000,n,debt_consolidation,Debt consolidation,CA,24.43,2,Nov-1991,0,9,0,7046,71.9,28,f,20850.42,20850.42,0,0,1,92909,9800
1763,32000,32000,32000, 36 months,16.29,1129.62,D,D2,Tech,10+ years,RENT,80000,n,debt_consolidation,Debt consolidation,NY,9.77,0,Aug-1996,0,8,0,20756,44.1,16,w,20520.01,20520.01,0,0,1,25640,47100
1764,25000,25000,25000, 60 months,22.99,704.62,F,F1,Attorney,4 years,RENT,50000,n,small_business,Business,TX,21.24,1,May-1978,0,24,0,30496,53.1,30,w,22298.48,22298.48,0,0,1,132418,57400
1765,24250,24250,24250, 36 months,17.57,871.48,D,D4,,n/a,RENT,56808,n,debt_consolidation,Debt consolidation,CO,35.99,0,Jan-1985,0,14,0,25667,47.4,20,f,0,0,0,0,1,51730,54100
1766,20000,20000,19925, 60 months,15.81,484.35,C,C4,Graybar,< 1 year,MORTGAGE,125000,n,home_improvement,Pool,CA,16.46,0,Jul-2001,3,10,1,4269,38.8,26,f,0,0,986.13,9.17,1,,
1767,5000,5000,5000, 36 months,12.23,166.63,C,C1,"Surgi-Care, Inc",2 years,RENT,40000,n,small_business,Inventory for Ebay Gold Store,MA,17.64,0,Mar-1991,1,11,0,13015,47.2,20,f,0,0,198.1,35.658,1,,
1768,12000,12000,12000, 36 months,7.89,375.43,A,A5,Program Analyst,10+ years,MORTGAGE,135000,n,debt_consolidation,Debt consolidation,MD,11.73,1,Mar-1976,0,13,0,10685,19.6,42,w,8945.41,8945.41,0,0,1,459655,54576
1769,14500,14500,14500, 60 months,24.08,417.81,F,F2,Tenet Healthcare,5 years,RENT,58000,n,debt_consolidation,Consolidate,GA,32.19,0,Dec-2002,2,9,1,12170,53.1,17,f,10553.07,10553.07,0,0,1,58607,22900
1770,20000,20000,20000, 60 months,18.24,510.49,D,D5,Electrical Engineer,3 years,MORTGAGE,85000,n,credit_card,Credit card refinancing,CT,26.05,0,Aug-2000,2,18,0,21534,66.9,30,w,0,0,0,0,1,333725,32200
